ward_num,ward_name,avg_income
1,Etobicoke North,95200
2,Etobicoke Centre,146600
3,Etobicoke-Lakeshore,127200
4,Parkdale-High Park,127200
5,York South-Weston,88700
6,York Centre,107500
7,Humber River-Black Creek,85700
8,Eglinton-Lawrence,176400
9,Davenport,107300
10,Spadina-Fort York,118200
11,University-Rosedale,174800
12,Toronto-St. Paulâ€™s,160400
13,Toronto Centre,89400
14,Toronto-Danforth,130800
15,Don Valley West,224800
16,Don Valley East,100300
17,Don Valley North,103800
18,Willowdale,106300
19,Beaches-East York,130600
20,Scarborough Southwest,102200
21,Scarborough Centre,91500
22,Scarborough-Agincourt,93000
23,Scarborough North,100000
24,Scarborough-Guildwood,92700
25,Scarborough-Rouge Park,121800
